"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","id","sizeCat","number"
"1","NJS_10",390,"NJS","NJS_10_0_0","",0,0,0,2.4001,0,0,0,0,0,0,0,0,5.6001,0,0,0,0,1.1001,0,2.2001,0,0,0,0,0,0,799862.39835,4073578.7478,5.6001,2.4001,0,5.6001,1.1001,1.1001,2.2001,0,NA,"",NA,2.2001,"EBA1,MBA,LBA,IA1,IA2",NA,195,3,285836
"2","NJS_101",302,"NJS","NJS_101_0_0","Mithlai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2001,0,0,0,0,0,0,780149.749,4072689.5917,2.2001,0,0,0,0,0,2.2001,2.2307136087e-05,364,"",NA,2.2001,"IA2",NA,196,2,506228
"3","NJS_105",304,"NJS","NJS_105_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,1.5001,0,0,0,0,0,0,785351.11545,4068273.1869,1.5001,0,0,0,0.8001,0.8001,1.5001,8.002671051e-06,232,"",NA,1.5001,"LBA,IA1,IA2",NA,197,2,563439
"4","NJS_108",307,"NJS","NJS_108_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.3001,0,3.3001,0,0,0,0,0,0,783415.964733333,4063290.37998333,3.3001,0,0,0.5001,3.3001,3.3001,3.3001,0,NA,"",NA,3.3001,"MBA,LBA,IA1,IA2",NA,198,2,379501
"5","NJS_11",217,"NJS","NJS_11_0_0","",0,0,0,0.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,798459.1738,4070510.21317143,0.7001,0.7001,0,0,0,0,0.7001,0,NA,"",NA,0.7001,"EBA1,IA2",NA,200,1,563028
"6","NJS_110",309,"NJS","NJS_110_0_0","Kharaba al-Qasimiyah or Tell Madari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5001,0,4.6001,0,0,0,0,0,0,786549.031442857,4063297.09044286,4.6001,0,0,0,3.5001,3.5001,4.6001,1.5180323152e-05,94,"",NA,4.6001,"LBA,IA1,IA2",NA,201,2,556139
"7","NJS_111",308,"NJS","NJS_111_0_0","Al-Morrah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0001,0,0,0,0,0,0,789589.33185,4064686.89315,2.0001,0,0,0,0,0,2.0001,0,NA,"",NA,2.0001,"IA2",NA,202,2,488994
"8","NJS_113",311,"NJS","NJS_113_0_0","Khirbet 'Aloki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,788030.117275,4065637.96375,1.0001,0,0,0,0,0,1.0001,0,NA,"",NA,1.0001,"IA2",NA,204,2,296429
"9","NJS_115",313,"NJS","NJS_115_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,2.0001,0,2.0001,0,0,0,0,0,0,788572.65502,4062087.99188,2.0001,0,0,1.0001,2.0001,2.0001,2.0001,0,NA,"",NA,2.0001,"MBA,LBA,IA1,IA2",NA,205,2,25670
"10","NJS_121",318,"NJS","NJS_121_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0.6001,789799.361375,4061875.998975,1.0001,0,0,1.0001,1.0001,1.0001,1.0001,0,NA,"",NA,1.0001,"MBA,LBA,IA1,IA2",NA,207,2,412523
