"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","id","sizeCat","number"
"20","LLN_301",35,"LLN","LLN_301_0_0","Majjreinat North",0,0,0,0,0,0,0,0,0,0,0,0,0.817128235,0,0,0,0,0.817128235,0,0,0,0,0,0,0,0,715457.1842,4072094.3513,0.817128235,0,0,0.817128235,0.817128235,0.817128235,0,0,NA,"",NA,0.817128235,"MBA,LBA,IA1",NA,118,1,561283
"21","LLN_313",182,"LLN","LLN_313_0_0","Khuwaith al-Ri'aydat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,722081.7689,4085795.9678,3.08,0,0,0,3.08,3.08,0,0,NA,"",NA,3.08,"LBA,IA1",NA,123,2,314127
"22","LLN_49",50,"LLN","LLN_49_0_0","Qarassa",0,10.9,0,0,0,0,0,10.9,0,0,0,0,10.9,0,10.9,0,0,10.9,0,0,0,0,0,0,0,0,720576.4412,4078638.8408,10.9,10.9,10.9,10.9,10.9,10.9,0,0,NA,"",NA,10.9,"EBA1,EBA2,MBA,LBA,IA1",NA,145,4,489840
"23","LLN_55",19,"LLN","LLN_55_0_0","Mohammed Diyab",43,0,43,0,0,43,0,43,0,43,0,0,43,0,43,0,0,43,0,0,0,0,0,0,0,0,728393.4121,4089588.6093,43,43,43,43,43,43,0,9.760890266e-06,689,"",NA,43,"EBA1,EBA2,MBA,LBA,IA1",NA,150,5,192214
"24","LLN_69",54,"LLN","LLN_69_0_0","",0,0,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,1e-04,0,0,0,0,0,0,0,0,724291.5438,4081730.8732,6.647292026e-06,0,1e-04,1e-04,1e-04,1e-04,0,6.647292026e-06,292,"",NA,6.647292026e-06,"EBA2,MBA,LBA,IA1",NA,163,1,467103
"25","LLN_90",24,"LLN","LLN_90_0_0","Aid",20,0,20,0,0,20,0,20,0,20,0,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,707994.3335,4091549.1205,20,20,20,20,20,20,0,2.1279736492e-05,283,"",NA,20,"EBA1,EBA2,MBA,LBA,IA1",NA,186,4,566036
"26","NJS_1",380,"NJS","NJS_1_0_0","Tell al-Hawa",0,0,0,0,0,0,0,0,0,0,65.5001,0,65.5001,0,0,0,0,16.0001,0,0,0,0,0,0,0,0,794811.300267857,4071801.74049643,65.5001,0,65.5001,65.5001,16.0001,16.0001,0,3.3357589612e-05,290,"",NA,16.0001,"EBA2,MBA,LBA,IA1",NA,194,6,411415
"27","NJS_10",390,"NJS","NJS_10_0_0","",0,0,0,2.4001,0,0,0,0,0,0,0,0,5.6001,0,0,0,0,1.1001,0,2.2001,0,0,0,0,0,0,799862.39835,4073578.7478,5.6001,2.4001,0,5.6001,1.1001,1.1001,2.2001,0,NA,"",NA,1.1001,"EBA1,MBA,LBA,IA1,IA2",NA,195,3,285836
"28","NJS_105",304,"NJS","NJS_105_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,1.5001,0,0,0,0,0,0,785351.11545,4068273.1869,1.5001,0,0,0,0.8001,0.8001,1.5001,8.002671051e-06,232,"",NA,0.8001,"LBA,IA1,IA2",NA,197,2,563439
"29","NJS_108",307,"NJS","NJS_108_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.3001,0,3.3001,0,0,0,0,0,0,783415.964733333,4063290.37998333,3.3001,0,0,0.5001,3.3001,3.3001,3.3001,0,NA,"",NA,3.3001,"MBA,LBA,IA1,IA2",NA,198,2,379501
"30","NJS_110",309,"NJS","NJS_110_0_0","Kharaba al-Qasimiyah or Tell Madari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5001,0,4.6001,0,0,0,0,0,0,786549.031442857,4063297.09044286,4.6001,0,0,0,3.5001,3.5001,4.6001,1.5180323152e-05,94,"",NA,3.5001,"LBA,IA1,IA2",NA,201,2,556139
"31","NJS_115",313,"NJS","NJS_115_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,2.0001,0,2.0001,0,0,0,0,0,0,788572.65502,4062087.99188,2.0001,0,0,1.0001,2.0001,2.0001,2.0001,0,NA,"",NA,2.0001,"MBA,LBA,IA1,IA2",NA,205,2,25670
"32","NJS_121",318,"NJS","NJS_121_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0.6001,789799.361375,4061875.998975,1.0001,0,0,1.0001,1.0001,1.0001,1.0001,0,NA,"",NA,1.0001,"MBA,LBA,IA1,IA2",NA,207,2,412523
"33","NJS_126",323,"NJS","NJS_126_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0.5001,0,0.5001,0,0,0,0,0,0,783921.835942857,4071451.33174286,1.0001,0,0,1.0001,0.5001,0.5001,0.5001,0,NA,"",NA,0.5001,"MBA,LBA,IA1,IA2",NA,209,2,533798
"34","NJS_131",328,"NJS","NJS_131_0_0","",0,0,0,0,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0.5001,0,0.9001,0,0,0,0,0,0,783846.5652,4074229.2149,0.9001,0,0.9001,0.9001,0.5001,0.5001,0.9001,0,NA,"",NA,0.5001,"EBA2,MBA,LBA,IA1,IA2",NA,214,1,470053
"35","NJS_138",335,"NJS","NJS_138_0_0","Kharaba al-Kabeba",0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.7001,0,3.7001,0,0,0,0,0,0,780738.14235,4060590.5283,3.7001,0,0,0.5001,3.7001,3.7001,3.7001,0,NA,"",NA,3.7001,"MBA,LBA,IA1,IA2",NA,219,2,158046
"36","NJS_14",220,"NJS","NJS_14_0_0","",0,0,0,1.9001,0,0,0,0,0,0,0,0,3.6001,0,3.6001,0,0,0.7001,0,0.4001,0,0,0,0,0,0,795967.86714,4068447.5022,3.6001,1.9001,0,3.6001,3.6001,0.7001,0.4001,0,NA,"",NA,0.7001,"EBA1,MBA,LBA,IA1,IA2",NA,220,2,559700
"37","NJS_140",337,"NJS","NJS_140_0_0","Tell Mana'a",0,0,0,0,0,0,0,0,0,0,1.0001,0,8.0001,0,0,0,0,3.5001,0,3.0001,0,0,0,0,0,0,781037.059114286,4064157.06055714,8.0001,0,1.0001,8.0001,3.5001,3.5001,3.0001,2.6177195322e-05,793,"",NA,3.5001,"EBA2,MBA,LBA,IA1,IA2",NA,221,3,303943
"39","NJS_155",386,"NJS","NJS_155_0_0","(Tell Hayal)",0,0,0,0,0,0,0,0,0,0,2.0001,0,2.4001,0,0,0,0,2.0001,0,1.0001,0,0,0,0,0,0,783598.987275,4077589.140125,2.4001,0,2.0001,2.4001,2.0001,2.0001,1.0001,2.4628669236e-05,751,"",NA,2.0001,"EBA2,MBA,LBA,IA1,IA2",NA,231,2,385759
