"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"1","1","LLN_1",1,"LLN","LLN_1_0_0","Tell Leilan",90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667,90.0002,90.0001,90.0002,90.0002,90.0001,90.0001,0,8.5951373544e-05,102,"",NA,90.0002,"EBA1,EBA2,MBA,LBA,IA1",NA,6
"2","101","LLN_27",139,"LLN","LLN_27_0_0","",0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,734450.7486,4079593.0818,NA,0,1e-04,1e-04,0,0,0,0,NA,"",NA,1.98,"EBA2,MBA",NA,8
"3","102","LLN_270",140,"LLN","LLN_270_0_0","Tubiz",0,0,0,0,0,0,0,4.06,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,731508.2596,4079746.8855,4.06,0,4.06,4.06,0,0,0,0,NA,"",NA,4.06,"EBA2,MBA",NA,2
"4","104","LLN_272",84,"LLN","LLN_272_0_0","(Tell Abu Qbara)",0,0,0,0,0,0,0,1e-04,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,733421.784,4078444.2742,1.1568446004e-05,0,1e-04,1e-04,1e-04,0,0,1.1568446004e-05,666,"",NA,1.1568446004e-05,"EBA2,MBA,LBA",NA,1
"5","105","LLN_273",36,"LLN","LLN_273_0_0","Tahin",0,0,0,0,0,8.32,0,8.32,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,728981.3292,4074340.6605,8.32,0,8.32,8.32,0,0,0,7.468759739e-06,531,"",NA,8.32,"EBA2,MBA",NA,3
"6","108","LLN_279",85,"LLN","LLN_279_0_0","Abtakh Fowqani",0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,725736.4474,4077364.3441,6,0,6,6,6,6,0,1.3685075777e-05,23,"",NA,6,"EBA2,MBA,LBA,IA1",NA,3
"7","11","LLN_112",68,"LLN","LLN_112_0_0","Taya",0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403,3.4,3.4,3.4,3.4,3.4,3.4,0,1.1613194806e-05,357,"",NA,3.4,"EBA1,EBA2,MBA,LBA,IA1",NA,2
"8","114","LLN_292",33,"LLN","LLN_292_0_0","Aweinat el-Amrin 3",0,0,0,0,0,0,0,2.72,0,0,0,0,2.72,0,2.72,0,0,2.72,0,0,0,0,0,0,0,0,719424.4392,4079018.0852,2.72,0,2.72,2.72,2.72,2.72,0,1.3562129941e-05,703,"",NA,2.72,"EBA2,MBA,LBA,IA1",NA,2
"9","119","LLN_302",87,"LLN","LLN_302_0_0","Na'am Jallad",0,0,0,0,0,0,0,2.38,0,2.38,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,723219.3586,4071944.7147,2.38,0,2.38,2.38,0,0,0,1.8364488191e-05,186,"",NA,2.38,"EBA2,MBA",NA,2
"10","120","LLN_307",115,"LLN","LLN_307_0_0","Hassawiyah Tahtani",0,0,0,0,0,0,0,0.85,0,0,0,0,0.85,0,0,0,0,0.85,0,0,0,0,0,0,0,0,716712.7759,4073155.0375,0.85,0,0.85,0.85,0.85,0.85,0,0,NA,"",NA,0.85,"EBA2,MBA,LBA,IA1",NA,1
"11","121","LLN_308",144,"LLN","LLN_308_0_0","Na'am Hayar",0,0,0,0,0,0,0,2.56,0,0,0,0,2.56,0,2.56,0,0,2.56,0,0,0,0,0,0,0,0,719515.0267,4071976.55,2.56,0,2.56,2.56,2.56,2.56,0,0,NA,"",NA,2.56,"EBA2,MBA,LBA,IA1",NA,2
"12","125","LLN_322",146,"LLN","LLN_322_0_0","Outeldja",0,0,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,733536.0444,4107222.4877,NA,0,1e-04,1e-04,0,0,0,0,NA,"",NA,1.98,"EBA2,MBA",NA,8
"13","127","LLN_33",183,"LLN","LLN_33_0_0","",0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,722025.8324,4085839.9179,NA,0,1e-04,1e-04,0,0,0,0,NA,"",NA,1.98,"EBA2,MBA",NA,8
"14","130","LLN_335",150,"LLN","LLN_335_0_0","Boutha",0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,716428.9178,4059871.192,0.7,0,0.7,0.7,0,0,0,0,NA,"",NA,0.7,"EBA2,MBA",NA,1
