Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
LLN_49,50,LLN,LLN_49_0_0,Qarassa,0,10.9,0,0,0,0,0,10.9,0,0,0,0,10.9,0,10.9,0,0,10.9,0,0,0,0,0,0,0,0,720576.4412,4078638.8408,1,10.9,10.9,10.9,10.9,10.9,0,0,,,,10.9,"EBA1,EBA2,MBA,LBA,IA1",,141403
LLN_55,19,LLN,LLN_55_0_0,Mohammed Diyab,43,0,43,0,0,43,0,43,0,43,0,0,43,0,43,0,0,43,0,0,0,0,0,0,0,0,728393.4121,4089588.6093,1,43,43,43,43,43,0,9.760890266e-006,689,,,43,"EBA1,EBA2,MBA,LBA,IA1",,174297
LLN_62,18,LLN,LLN_62_0_0,Nabua,0,0,0,0,0,1.767145838,0,0,0,0,0,0,1.767145838,0,0,0,0,1.767145838,0,0,0,0,0,0,0,0,730930.56,4092465.965,1,0,1.767145838,1.767145838,1.767145838,1.767145838,0,2.501169237e-006,150,,,1.767145838,"EBA2,MBA,LBA,IA1",,180437
LLN_69,54,LLN,LLN_69_0_0,,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,724291.5438,4081730.8732,1,0,0.0001,0.0001,0.0001,0.0001,0,6.647292026e-006,292,,,6.647292026e-006,"EBA2,MBA,LBA,IA1",,184585
NJS_1,380,NJS,NJS_1_0_0,(Tell el-Hawa),0,0,0,0,0,0,0,0,0,0,65.5001,0,65.5001,0,0,0,0,16.0001,0,0,0,0,0,0,0,0,794811.300267857,4071801.74049643,1,0,65.5001,65.5001,16.0001,16.0001,0,3.3357589612e-005,290,,,65.5001,"EBA2,MBA,LBA,IA1",,107732
NJS_10,390,NJS,NJS_10_0_0,,0,0,0,2.4001,0,0,0,0,0,0,0,0,5.6001,0,0,0,0,1.1001,0,2.2001,0,0,0,0,0,0,799862.39835,4073578.7478,1,2.4001,0,5.6001,1.1001,1.1001,2.2001,0,,,,5.6001,"EBA1,MBA,LBA,IA1,IA2",,42943
NJS_105,304,NJS,NJS_105_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,1.5001,0,0,0,0,0,0,785351.11545,4068273.1869,1,0,0,0,0.8001,0.8001,1.5001,8.002671051e-006,232,,,1.5001,"LBA,IA1,IA2",,189661
NJS_108,307,NJS,NJS_108_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.3001,0,3.3001,0,0,0,0,0,0,783415.964733333,4063290.37998333,1,0,0,0.5001,3.3001,3.3001,3.3001,0,,,,3.3001,"MBA,LBA,IA1,IA2",,116828
NJS_110,309,NJS,NJS_110_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5001,0,4.6001,0,0,0,0,0,0,786549.031442857,4063297.09044286,1,0,0,0,3.5001,3.5001,4.6001,1.5180323152e-005,94,,,4.6001,"LBA,IA1,IA2",,30980
NJS_115,313,NJS,NJS_115_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,2.0001,0,2.0001,0,0,0,0,0,0,788572.65502,4062087.99188,1,0,0,1.0001,2.0001,2.0001,2.0001,0,,,,2.0001,"MBA,LBA,IA1,IA2",,122702
NJS_12,218,NJS,NJS_12_0_0,,0,0,0,3.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,2.1001,0,0,0,0,0,0,800016.385466667,4071508.79996667,1,3.0001,0,0,2.1001,2.1001,2.1001,0,,,,3.0001,"EBA1,LBA,IA1,IA2",,178151
NJS_121,318,NJS,NJS_121_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0.6001,789799.361375,4061875.998975,1,0,0,1.0001,1.0001,1.0001,1.0001,0,,,,1.0001,"MBA,LBA,IA1,IA2",,59929
