Site_ID,FID_1,Dataset_1,Major_ID_1,Tuna_area_1,Site_Name,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA_T,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA_FC,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y
LLN_142,73,LLN,LLN_142_0_0,4.22882717258,Suwaidiya Kabira,0,0,0,0,0,0,0,0,0,0,0,0,2.432849309,0,0,0,0,0,0,0,0,0,0,0,0,0,705611.2314,4088443.894
LLN_143,91,LLN,LLN_143_0_0,0,Buludiya,0,0,0,0,0,0,0,0,0,0,0,0,1.539380374,0,0,0,0,0,0,0,0,0,0,0,0,0,706093.3368,4091202.6999
LLN_144,94,LLN,LLN_144_0_0,0,Awena,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,708580.2091,4095405.0331
LLN_145,169,LLN,LLN_145_0_0,0,Tartab 1,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,722025.8324,4085592.1992
LLN_147,96,LLN,LLN_147_0_0,3.47932143017,Abu Hajjeira village,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,726963.7261,4094568.0721
LLN_148,98,LLN,LLN_148_0_0,6.65896035909,Gunduk Said,0,0,0,0,0,0,0,0,0,0,0,0,1.227184609,0,0,0,0,1.227184609,0,0,0,0,0,0,0,0,728477.1652,4095397.0928
LLN_149,97,LLN,LLN_149_0_0,2.44582853101,Malish 1,0,0,0,0,0,0,0,0,0,0,0,0,0.78539815,0,0,0,0,0,0,0,0,0,0,0,0,0,729663.6636,4096997.7999
LLN_15,22,LLN,LLN_15_0_0,19.7979411701,Blaij,0,6.2,6.2,0,0,6.2,0,6.2,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,717020.4457,4089425.1511
LLN_155,120,LLN,LLN_155_0_0,0,Maqbara,1.44,1.44,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,1.44,0,0,0,0,0,0,0,0,735373.2813,4097069.3369
LLN_156,121,LLN,LLN_156_0_0,0,Aaramish,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,734164.5728,4095908.9769
