"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"19","115","LLN_293",142,"LLN","LLN_293_0_0","Aweinat el-Amrin 4",0,0,0,0,0,0,0,0,0,0,0,0,2.125,0,2.125,0,0,0,0,0,0,0,0,0,0,0,714422.2346,4074506.9957,2.125,0,0,2.125,2.125,0,0,0,NA,"",NA,2.125,"MBA,LBA",NA,2
"20","116","LLN_296",143,"LLN","LLN_296_0_0","Abu Qbeir North",0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,712383.9818,4073135.5787,4.32,0,0,4.32,0,0,0,0,NA,"",NA,4.32,"MBA",NA,2
"21","117","LLN_3",8,"LLN","LLN_3_0_0","Nasran",0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,721413.8391,4099170.3426,0.35,0,0,0.35,0,0,0,0,NA,"",NA,0.35,"MBA",NA,1
"22","118","LLN_301",35,"LLN","LLN_301_0_0","Majjreinat North",0,0,0,0,0,0,0,0,0,0,0,0,0.817128235,0,0,0,0,0.817128235,0,0,0,0,0,0,0,0,715457.1842,4072094.3513,0.817128235,0,0,0.817128235,0.817128235,0.817128235,0,0,NA,"",NA,0.817128235,"MBA,LBA,IA1",NA,1
"23","119","LLN_302",87,"LLN","LLN_302_0_0","Na'am Jallad",0,0,0,0,0,0,0,2.38,0,2.38,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,723219.3586,4071944.7147,2.38,0,2.38,2.38,0,0,0,1.8364488191e-05,186,"",NA,2.38,"EBA2,MBA",NA,2
"24","12","LLN_114",166,"LLN","LLN_114_0_0","Hormor 2",0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,721909.964,4085600.1901,1.02,0,0,1.02,0,0,0,0,NA,"",NA,1.02,"MBA",NA,2
"25","120","LLN_307",115,"LLN","LLN_307_0_0","Hassawiyah Tahtani",0,0,0,0,0,0,0,0.85,0,0,0,0,0.85,0,0,0,0,0.85,0,0,0,0,0,0,0,0,716712.7759,4073155.0375,0.85,0,0.85,0.85,0.85,0.85,0,0,NA,"",NA,0.85,"EBA2,MBA,LBA,IA1",NA,1
"26","121","LLN_308",144,"LLN","LLN_308_0_0","Na'am Hayar",0,0,0,0,0,0,0,2.56,0,0,0,0,2.56,0,2.56,0,0,2.56,0,0,0,0,0,0,0,0,719515.0267,4071976.55,2.56,0,2.56,2.56,2.56,2.56,0,0,NA,"",NA,2.56,"EBA2,MBA,LBA,IA1",NA,2
"27","124","LLN_315",145,"LLN","LLN_315_0_0","Qabbaniyat Awda",0,0,0,0,0,0,0,0,0,0,0,0,3.976078134,0,0,0,0,0,0,0,0,0,0,0,0,0,736485.293,4093539.9083,3.976078134,0,0,3.976078134,0,0,0,0,NA,"",NA,3.976078134,"MBA",NA,2
"28","125","LLN_322",146,"LLN","LLN_322_0_0","Outeldja",0,0,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,733536.0444,4107222.4877,NA,0,1e-04,1e-04,0,0,0,0,NA,"",NA,2.1,"EBA2,MBA",NA,8
