Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
NJS_10,390,NJS,NJS_10_0_0,,0,0,0,2.4001,0,0,0,0,0,0,0,0,5.6001,0,0,0,0,1.1001,0,2.2001,0,0,0,0,0,0,799862.39835,4073578.7478,1,2.4001,0,5.6001,1.1001,1.1001,2.2001,0,,,,5.6001,"EBA1,MBA,LBA,IA1,IA2",,42943
NJS_101,302,NJS,NJS_101_0_0,(Tell Mithlay),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2001,0,0,0,0,0,0,780149.749,4072689.5917,1,0,0,0,0,0,2.2001,2.2307136087e-005,364,,,2.2001,IA2,,169848
NJS_105,304,NJS,NJS_105_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,1.5001,0,0,0,0,0,0,785351.11545,4068273.1869,1,0,0,0,0.8001,0.8001,1.5001,8.002671051e-006,232,,,1.5001,"LBA,IA1,IA2",,189661
NJS_108,307,NJS,NJS_108_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.3001,0,3.3001,0,0,0,0,0,0,783415.964733333,4063290.37998333,1,0,0,0.5001,3.3001,3.3001,3.3001,0,,,,3.3001,"MBA,LBA,IA1,IA2",,116828
NJS_109,306,NJS,NJS_109_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,786667.895966667,4065860.68956667,1,0,0,0,0,0,0.7001,0,,,,0.7001,IA2,,195009
NJS_11,217,NJS,NJS_11_0_0,,0,0,0,0.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,798459.1738,4070510.21317143,1,0.7001,0,0,0,0,0.7001,0,,,,0.7001,"EBA1,IA2",,187975
NJS_110,309,NJS,NJS_110_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5001,0,4.6001,0,0,0,0,0,0,786549.031442857,4063297.09044286,1,0,0,0,3.5001,3.5001,4.6001,1.5180323152e-005,94,,,4.6001,"LBA,IA1,IA2",,30980
NJS_111,308,NJS,NJS_111_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0001,0,0,0,0,0,0,789589.33185,4064686.89315,1,0,0,0,0,0,2.0001,0,,,,2.0001,IA2,,140948
NJS_113,311,NJS,NJS_113_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,788030.117275,4065637.96375,1,0,0,0,0,0,1.0001,0,,,,1.0001,IA2,,69948
NJS_115,313,NJS,NJS_115_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,2.0001,0,2.0001,0,0,0,0,0,0,788572.65502,4062087.99188,1,0,0,1.0001,2.0001,2.0001,2.0001,0,,,,2.0001,"MBA,LBA,IA1,IA2",,122702
NJS_12,218,NJS,NJS_12_0_0,,0,0,0,3.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,2.1001,0,0,0,0,0,0,800016.385466667,4071508.79996667,1,3.0001,0,0,2.1001,2.1001,2.1001,0,,,,3.0001,"EBA1,LBA,IA1,IA2",,178151
NJS_121,318,NJS,NJS_121_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0.6001,789799.361375,4061875.998975,1,0,0,1.0001,1.0001,1.0001,1.0001,0,,,,1.0001,"MBA,LBA,IA1,IA2",,59929
NJS_126,323,NJS,NJS_126_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0.5001,0,0.5001,0,0,0,0,0,0,783921.835942857,4071451.33174286,1,0,0,1.0001,0.5001,0.5001,0.5001,0,,,,1.0001,"MBA,LBA,IA1,IA2",,156063
NJS_128,325,NJS,NJS_128_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,786624.4948,4075586.793,1,0,0,0,0,0,1.8,0,,,,1.8,IA2,,125116
NJS_13,219,NJS,NJS_13_0_0,,0,0,0,1.3004,0,0,0,0,0,0,0,0,1.3003,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,794864.00424,4068440.5601,1,1.3004,0,1.3003,0,0,0.0002,0,,,,1.3004,"EBA1,MBA,IA2",,160526
NJS_130,327,NJS,NJS_130_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,785193.525266667,4073480.95126667,1,0,0,0,0,0,0.0002,0,,,,,IA2,,161974
NJS_131,328,NJS,NJS_131_0_0,,0,0,0,0,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0.5001,0,0.9001,0,0,0,0,0,0,783846.5652,4074229.2149,1,0,0.9001,0.9001,0.5001,0.5001,0.9001,0,,,,0.9001,"EBA2,MBA,LBA,IA1,IA2",,114209
NJS_132,329,NJS,NJS_132_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.1001,0,0,0,0,0,0,1.1001,0,0,0,0,0,0,784841.10324,4075631.06432,1,0,0,1.1001,0,0,1.1001,0,,,,1.1001,"MBA,IA2",,157314
NJS_135,332,NJS,NJS_135_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3001,0,0,0,0,0,0,786699.57515,4059174.5928,1,0,0,0,0,0,2.3001,0,,,,2.3001,IA2,,148503
NJS_138,335,NJS,NJS_138_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.7001,0,3.7001,0,0,0,0,0,0,780738.14235,4060590.5283,1,0,0,0.5001,3.7001,3.7001,3.7001,0,,,,3.7001,"MBA,LBA,IA1,IA2",,32206
NJS_14,220,NJS,NJS_14_0_0,,0,0,0,1.9001,0,0,0,0,0,0,0,0,3.6001,0,3.6001,0,0,0.7001,0,0.4001,0,0,0,0,0,0,795967.86714,4068447.5022,1,1.9001,0,3.6001,3.6001,0.7001,0.4001,0,,,,3.6001,"EBA1,MBA,LBA,IA1,IA2",,170449
NJS_140,337,NJS,NJS_140_0_0,(Tell Mana'a),0,0,0,0,0,0,0,0,0,0,1.0001,0,8.0001,0,0,0,0,3.5001,0,3.0001,0,0,0,0,0,0,781037.059114286,4064157.06055714,1,0,1.0001,8.0001,3.5001,3.5001,3.0001,2.6177195322e-005,793,,,8.0001,"EBA2,MBA,LBA,IA1,IA2",,111792
NJS_142,339,NJS,NJS_142_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,778726.89078,4065375.65456,1,0,0,0,0,0,1.3001,0,,,,1.3001,IA2,,109426
NJS_143,340,NJS,NJS_143_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,0,0,780147.52261,4067139.17499,1,0,0,0,0,0,1.5001,0,,,,1.5001,IA2,,44817
NJS_144,341,NJS,NJS_144_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,778609.5035,4066899.6999,1,0,0,0,0,0,0.7,0,,,,0.7,IA2,,23393
NJS_145,342,NJS,NJS_145_0_0,,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,0,0,0,0,0,776352.683416667,4066475.00328333,1,1.0001,0,0,0,0,2.1001,0,,,,2.1001,"EBA1,IA2",,176177
NJS_146,343,NJS,NJS_146_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,777416.14004,4063943.64764,1,0,0,0,0,0,1.3001,0,,,,1.3001,IA2,,143988
NJS_147,344,NJS,NJS_147_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,0,0,780328.965433333,4068757.4566,1,0,0,0,0,0,1.6001,0,,,,1.6001,IA2,,184694
NJS_155,386,NJS,NJS_155_0_0,(Tell Hayal),0,0,0,0,0,0,0,0,0,0,2.0001,0,2.4001,0,0,0,0,2.0001,0,1.0001,0,0,0,0,0,0,783598.987275,4077589.140125,1,0,2.0001,2.4001,2.0001,2.0001,1.0001,2.4628669236e-005,751,,,2.4001,"EBA2,MBA,LBA,IA1,IA2",,105612
NJS_157,352,NJS,NJS_157_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,2.4001,0,0,0,0,0,0,776874.389928571,4072209.58221429,1,0,0,0,1.2001,1.2001,2.4001,0,,,,2.4001,"LBA,IA1,IA2",,184754
NJS_159,354,NJS,NJS_159_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,1.4001,0,0,0,0,0,0,775451.0526,4074132.2666,1,0,0,0.7001,0,0,1.4001,0,,,,1.4001,"MBA,IA2",,24830
NJS_160,355,NJS,NJS_160_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,1.6001,0,0.7001,0,0,0,0,0,0,780883.346566667,4074584.1562,1,0,0,1.6001,1.6001,1.6001,0.7001,0,,,,1.6001,"MBA,LBA,IA1,IA2",,167294
NJS_161,356,NJS,NJS_161_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,780944.095925,4073924.178825,1,0,0,0,0,0,0.5001,0,,,,0.5001,IA2,,165752
NJS_163,358,NJS,NJS_163_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0,0.8001,777242.643125,4060903.158075,1,0,0,0,0,0,2.5001,4.465743454e-006,691,,,2.5001,IA2,,98058
NJS_165,360,NJS,NJS_165_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,777394.988466667,4060118.32083333,1,0,0,0,0,0,1.3001,2.54475159e-006,842,,,1.3001,IA2,,70662
NJS_167,362,NJS,NJS_167_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,778184.413,4059108.5787,1,0,0,0,0,0,0.4,0,,,,0.4,IA2,,25588
NJS_167,362,NJS,NJS_167_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,778184.413,4059108.5787,1,0,0,0,0,0,0.4,0,,,,0.4,IA2,,25589
NJS_167,362,NJS,NJS_167_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,778184.413,4059108.5787,1,0,0,0,0,0,0.4,0,,,,0.4,IA2,,92431
NJS_17,223,NJS,NJS_17_0_0,,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,0,0,791181.439166667,4071319.17046667,1,0.0001,0,0,0,0,1.5001,0,,,,1.5001,"EBA1,IA2",,181948
NJS_174,371,NJS,NJS_174_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7001,0,0,0,0,0,0,772333.16978,4070161.94403,1,0,0,0,0,0,2.7001,1.6461739897e-005,20,,,2.7001,IA2,,138709
NJS_175,369,NJS,NJS_175_0_0,,0,0,0,0,0,0,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,774562.04775,4071957.0438,1,0,1.0001,1.0001,0,0,0.5001,7.608985787e-006,863,,,1.0001,"EBA2,MBA,IA2",,123432
NJS_178,373,NJS,NJS_178_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0,0,772604.14324,4066644.55846,1,0,0,0,0,0,2.5001,9.460838281e-006,674,,,2.5001,IA2,,163411
NJS_18,224,NJS,NJS_18_0_0,,0,0,0,1.3001,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,0.8001,0,0,0,0,0,0,791808.83315,4069835.8676,1,1.3001,0,1.3001,0,0,0.8001,0,,,,1.3001,"EBA1,MBA,IA2",,160560
