"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"17","162","LLN_68",154,"LLN","LLN_68_0_0","",0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,723624.6354,4087689.7596,0.5,0.5,0.5,0.5,0,0,0,0,NA,"",NA,0.5,"EBA1,EBA2,MBA",NA,1
"18","169","LLN_74",12,"LLN","LLN_74_0_0","Shair",4,0,4,0,0,4,0,4,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,716612.5214,4103496.6251,4,4,4,4,4,4,0,1.0973920818e-05,489,"",NA,4,"EBA1,EBA2,MBA,LBA,IA1",NA,2
"19","17","LLN_123",44,"LLN","LLN_123_0_0","Khodr",0,12.25,0,0,0,12.25,0,12.25,0,12.25,0,0,12.25,0,0,0,0,12.25,0,0,0,0,0,0,0,0,717465.1778,4067204.0911,12.25,12.25,12.25,12.25,12.25,12.25,0,3.7131757555e-05,203,"",NA,12.25,"EBA1,EBA2,MBA,LBA,IA1",NA,4
"20","171","LLN_76",55,"LLN","LLN_76_0_0","Jihan",0,0,0,2.2896,0,0,0,0,0,0,2.2896,0,2.2896,0,2.2896,0,0,2.2896,0,0,0,0,0,0,0,0,718066.6932,4105692.5711,2.2896,2.2896,2.2896,2.2896,2.2896,2.2896,0,8.788513667e-06,438,"",NA,2.2896,"EBA1,EBA2,MBA,LBA,IA1",NA,2
"21","172","LLN_77",159,"LLN","LLN_77_0_0","",0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,719768.9043,4096369.5119,0.5,0.5,0.5,0.5,0,0,0,0,NA,"",NA,0.5,"EBA1,EBA2,MBA",NA,1
"22","182","LLN_87",62,"LLN","LLN_87_0_0","Bazouna Kabira",0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,731802.6239,4088159.7422,5,5,5,5,0,0,0,0,NA,"",NA,5,"EBA1,EBA2,MBA",NA,2
"23","185","LLN_9",160,"LLN","LLN_9_0_0","Rehaya 1",0,0,0,4.9875,0,0,0,0,0,0,4.9875,0,4.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,724228.542,4094017.257,4.9875,4.9875,4.9875,4.9875,0,0,0,0,NA,"",NA,4.9875,"EBA1,EBA2,MBA",NA,2
"24","186","LLN_90",24,"LLN","LLN_90_0_0","Aid",20,0,20,0,0,20,0,20,0,20,0,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,707994.3335,4091549.1205,20,20,20,20,20,20,0,2.1279736492e-05,283,"",NA,20,"EBA1,EBA2,MBA,LBA,IA1",NA,4
"25","19","LLN_13",156,"LLN","LLN_13_0_0","Gir Souar",0,5.12,5.12,0,0,5.12,0,5.12,0,5.12,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,717194.3065,4096344.1119,5.12,5.12,5.12,5.12,0,0,0,0,NA,"",NA,5.12,"EBA1,EBA2,MBA",NA,3
"26","192","LLN_96",65,"LLN","LLN_96_0_0","Koubeiba",2.64,0,0,0,0,2.64,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,711985.8713,4088044.6113,2.64,2.64,2.64,2.64,0,0,0,7.666289425e-06,758,"",NA,2.64,"EBA1,EBA2,MBA",NA,2
"27","195","NJS_10",390,"NJS","NJS_10_0_0","",0,0,0,2.4001,0,0,0,0,0,0,0,0,5.6001,0,0,0,0,1.1001,0,2.2001,0,0,0,0,0,0,799862.39835,4073578.7478,5.6001,2.4001,0,5.6001,1.1001,1.1001,2.2001,0,NA,"",NA,2.4001,"EBA1,MBA,LBA,IA1,IA2",NA,3
"28","200","NJS_11",217,"NJS","NJS_11_0_0","",0,0,0,0.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,798459.1738,4070510.21317143,0.7001,0.7001,0,0,0,0,0.7001,0,NA,"",NA,0.7001,"EBA1,IA2",NA,1
"29","203","NJS_112",310,"NJS","NJS_112_0_0","",0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789054.113533333,4064060.53746667,NA,1e-04,0,0,0,0,0,0,NA,"",NA,1.8002,"EBA1",NA,8
"30","206","NJS_12",218,"NJS","NJS_12_0_0","",0,0,0,3.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,2.1001,0,0,0,0,0,0,800016.385466667,4071508.79996667,3.0001,3.0001,0,0,2.1001,2.1001,2.1001,0,NA,"",NA,3.0001,"EBA1,LBA,IA1,IA2",NA,2
"31","210","NJS_127",324,"NJS","NJS_127_0_0","Abu Kula",0,0,0,5.0002,0,0,0,0,0,0,5.0003,0,5.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,797428.27472,4063270.8198,5.0003,5.0002,5.0003,5.0003,0,0,0,4.2939909816e-05,21,"",NA,5.0002,"EBA1,EBA2,MBA",NA,3
"32","212","NJS_13",219,"NJS","NJS_13_0_0","",0,0,0,1.3004,0,0,0,0,0,0,0,0,1.3003,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,794864.00424,4068440.5601,1.3004,1.3004,0,1.3003,0,0,2e-04,0,NA,"",NA,1.3004,"EBA1,MBA,IA2",NA,2
