L1,OBJECTID_1,hw_type,Corrected,Shape_Leng,angle,angle_abs,startX,midX,endX,startY,midY,endY
25,161,"0","1",666.429596984,0.00768119174831528,0.00768119174831528,741005.8408,740759.2882,740512.7356,4084553.6597,4084777.81125,4085001.9628
26,162,"0","1",5851.82483319,0.0322329777276081,0.0322329777276081,739931.6059,737171.038881547,734411.8703,4084150.9743,4085091.0409051,4086033.3963
27,163,"0","1",2341.25495131,-0.0127516802708609,179.987248319729,734462.2161,735585.949660761,736674.9139,4085939.8383,4085616.92580128,4085194.1034
28,164,"1","1",2419.45085885,-0.00600027576904152,179.993999724231,734718.6966,735913.282370694,737108.807,4086069.3487,4085886.05607239,4085718.4167
29,165,"1","1",2074.07238974,0.0148940062163521,0.0148940062163521,734951.972,735909.962941002,736822.2757,4086558.025,4086948.56597989,4087429.4997
30,166,"1","1",3231.75367886,-0.0228968546544692,179.977103145346,733233.7815,731768.36660668,730300.6668,4085757.6014,4085086.18486307,4084418.3825
31,167,"1","1",958.777328274,-0.0125739217790377,179.987426078221,732623.8021,732346.749849337,732036.1761,4085453.5525,4085064.88023833,4084717.9142
32,168,"1","1",1783.35429627,-0.0169950644921058,179.983004935508,731500.4266,730765.674270907,730033.1135,4084394.5184,4083891.9859981,4083400.2784
33,169,"0","1",1575.51394186,-0.0103839938816845,179.989616006118,733535.3586,734265.67843963,734988.0761,4084029.0098,4083734.25724658,4083421.8935
34,170,"1","1",1586.87663827,-0.00371340687866312,179.996286593121,730510.4513,731288.196025796,732077.2259,4082828.5528,4082693.56651411,4082611.2992
35,78,"3","1",213.171198336,0.00122718089145779,0.00122718089145779,765298,765197.50005,765097.0001,4080142,4080177.5,4080213
36,171,"1","1",1370.16157758,0.0233329346083854,0.0233329346083854,729323.1236,729274.203044352,729222.586,4083380.3967,4084063.72355386,4084746.8479
37,172,"1","1",1558.89632083,0.0204005547949127,0.0204005547949127,729296.0362,728794.336157956,728295.2001,4083794.4124,4084390.56262122,4084989.23
38,173,"1","1",2359.46477015,0.0205159593757548,0.0205159593757548,732435.9108,731416.68399947,730410.7475,4086968.5548,4087555.07486318,4088170.1461
39,174,"1","1",610.667348095,-0.00521060377357845,179.994789396226,728910.2117,729179.633270534,729438.3581,4089054.5009,4088910.83228882,4088748.9498
40,175,"0","1",4625.23465546,-0.018758461710657,179.981241538289,729073.2292,731286.820729216,733526.1713,4089565.5991,4088916.20944998,4088465.7443
41,176,"0","1",1275.23915567,-0.0093495653727913,179.990650434627,726932.9326,727506.75727326,728082.7333,4090643.5385,4090365.66016159,4090094.7354
42,177,"1","1",2065.88516314,-0.0278151537286946,179.972184846271,728075.527,727462.006309573,726809.1573,4089124.8315,4088293.83578438,4087493.9479
43,178,"1","1",206.347510482,-0.00350122821640044,179.996498771784,727699.3583,727686.930938631,727680.9923,4088612.5427,4088510.12012212,4088407.1767
44,179,"1","1",1031.76904599,-0.0174813605105961,179.982518639489,727676.6421,727626.74532181,727560.8551,4088074.7656,4087561.30638556,4087049.7963
45,180,"1","1",1007.484301,-0.0165927085054948,179.983407291495,728557.7717,728640.438690854,728798.8411,4089057.0062,4088560.21149245,4088084.0961
46,181,"0","1",914.824301158,-0.0154633307623928,179.984536669238,728879.546,728931.504200045,729002.1342,4087283.1498,4086828.70059229,4086377.0081
47,182,"1","1",2761.35766355,-0.040920896211525,179.959079103788,729694.0364,730333.143987277,731027.9359,4081863.764,4080657.96906115,4079471.338
48,183,"0","1",2485.12769534,-0.00930400552136931,179.990695994479,733153.7837,731940.527162714,730732.9806,4078254.7183,4077987.76275655,4077711.6105
49,184,"1","1",1388.68298442,0.00613249986190941,0.00613249986190941,729451.9371,730117.574202618,730791.3988,4078409.0498,4078601.15912819,4078767.5348
50,185,"1","1",1919.43708789,0.0142301976550377,0.0142301976550377,731364.0844,732224.316759005,733091.4561,4078961.5555,4079382.52690271,4079793.1841
51,186,"1","1",1014.13440251,-0.0173461978966867,179.982653802103,732921.3197,732894.654437988,732877.3271,4080305.928,4079799.56442653,4079292.8198
52,187,"1","1",1244.6919838,0.0134667245812816,0.0134667245812816,736231.2099,736697.28003797,737191.7641,4080814.1751,4081225.08437956,4081600.4663
53,188,"0","1",1756.97401738,0.0192065997823169,0.0192065997823169,734689.9288,735388.455294959,736037.1306,4079509.7701,4080039.87014178,4080631.3913
54,189,"1","1",2411.44920357,0.0403334179405805,0.0403334179405805,734158.2931,734461.906694443,734530.9167,4086376.2085,4087534.73343324,4088737.6682
55,190,"0","1",1154.56222753,0.0194772224931579,0.0194772224931579,734420.5797,734305.734839943,734267.0849,4087160.5029,4087725.31628534,4088300.6265
56,191,"0","1",1279.73052046,0.00765131940712283,0.00765131940712283,734791.4256,734293.960248817,733660.1314,4092784.5532,4093181.94331609,4093233.0419
57,192,"1","1",2533.530878,0.0429225703775511,0.0429225703775511,735066.9955,735078.920167085,735018.4148,4092779.7568,4094038.61488531,4095297.0406
58,193,"2","1",1190.12072754,-0.0200446784609088,179.979955321539,727319.7372,727409.530018228,727475.9262,4094516.5872,4093928.68069466,4093339
59,194,"0","1",731.585420077,0.00473039814809191,0.00473039814809191,727540.8266,727882.916578048,728217.2078,4094867.6339,4094997.16196626,4095145.6668
60,195,"1","1",3651.16367616,0.00219787700573387,0.00219787700573387,727576.6011,729348.187571832,731148.8991,4094818.625,4095215.14640535,4094947.798
61,196,"1","1",2013.57226732,0.000733545766564925,0.000733545766564925,743332.0554,744338.548831794,745340.8485,4093035.8949,4093018.52537003,4093078.781
62,197,"0","1",1138.64462024,0.00437888206822204,0.00437888206822204,749022.1682,749573.090230894,750124.6489,4081833.4165,4081950.63325574,4082088.1491
