"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","number","id"
"1","LLN_1",1,"LLN","LLN_1_0_0","Tell Leilan",90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667,1,90.0001,90.0002,90.0002,90.0001,90.0001,0,8.5951373544e-05,102,"",NA,90.0001,"EBA1,EBA2,MBA,LBA,IA1",NA,112230,1
"2","LLN_101",116,"LLN","LLN_101_0_0","Abbas",0,0.78539815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729255.786,4092514.1011,1,0.78539815,0,0,0,0,0,0,NA,"",NA,0.78539815,"EBA1",NA,186513,4
"3","LLN_106",67,"LLN","LLN_106_0_0","Toueiyel",0,4.08,4.08,0,0,4.08,0,4.08,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,729549.4,4083222.5702,1,4.08,4.08,4.08,0,0,0,1.5418366506e-05,709,"",NA,4.08,"EBA1,EBA2,MBA",NA,179313,7
"4","LLN_112",68,"LLN","LLN_112_0_0","Taya",0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403,1,3.4,3.4,3.4,3.4,3.4,0,1.1613194806e-05,357,"",NA,3.4,"EBA1,EBA2,MBA,LBA,IA1",NA,162394,11
"5","LLN_12",16,"LLN","LLN_12_0_0","Awda",3.52,0,3.52,0,0,3.52,0,3.52,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,734992.3783,4092482.7708,1,3.52,3.52,3.52,0,0,0,4.498039214e-06,628,"",NA,3.52,"EBA1,EBA2,MBA",NA,161059,15
"6","LLN_133",27,"LLN","LLN_133_0_0","Abu Qassayeb",0,0.3,0.3,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710637.3923,4083547.211,1,0.3,0.3,0,0,0,0,3.316740608e-06,141,"",NA,0.3,"EBA1,EBA2",NA,171239,22
"7","LLN_137",3,"LLN","LLN_137_0_0","Barham",1.327322874,0,1.327322874,0,0,0,0,0,0,0,0,0,1.327322874,0,0,0,0,0,0,0,0,0,0,0,0,0,723751.4573,4096537.8784,1,1.327322874,1.327322874,1.327322874,0,0,0,3.216321923e-06,400,"",NA,1.327322874,"EBA1,EBA2,MBA",NA,186414,25
"8","LLN_15",22,"LLN","LLN_15_0_0","Blaij",0,6.2,6.2,0,0,6.2,0,6.2,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,717020.4457,4089425.1511,1,6.2,6.2,6.2,0,0,0,2.0022651714e-05,26,"",NA,6.2,"EBA1,EBA2,MBA",NA,196550,35
"9","LLN_155",120,"LLN","LLN_155_0_0","Maqbara",1.44,1.44,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,1.44,0,0,0,0,0,0,0,0,735373.2813,4097069.3369,1,1.44,0,1.44,1.44,1.44,0,0,NA,"",NA,1.44,"EBA1,MBA,LBA,IA1",NA,192444,36
"10","LLN_157",170,"LLN","LLN_157_0_0","Madhluma",1.2,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,722025.8324,4085736.0359,1,1.2,0,1.2,0,0,0,0,NA,"",NA,1.2,"EBA1,MBA",NA,78370,31
