"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","number","id"
"19","NJS_135",332,"NJS","NJS_135_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3001,0,0,0,0,0,0,786699.57515,4059174.5928,1,0,0,0,0,0,2.3001,0,NA,"",NA,2.3001,"IA2",NA,148503,216
"20","NJS_138",335,"NJS","NJS_138_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.7001,0,3.7001,0,0,0,0,0,0,780738.14235,4060590.5283,1,0,0,0.5001,3.7001,3.7001,3.7001,0,NA,"",NA,3.7001,"MBA,LBA,IA1,IA2",NA,32206,219
"21","NJS_14",220,"NJS","NJS_14_0_0","",0,0,0,1.9001,0,0,0,0,0,0,0,0,3.6001,0,3.6001,0,0,0.7001,0,0.4001,0,0,0,0,0,0,795967.86714,4068447.5022,1,1.9001,0,3.6001,3.6001,0.7001,0.4001,0,NA,"",NA,3.6001,"EBA1,MBA,LBA,IA1,IA2",NA,170449,220
"22","NJS_140",337,"NJS","NJS_140_0_0","(Tell Mana'a)",0,0,0,0,0,0,0,0,0,0,1.0001,0,8.0001,0,0,0,0,3.5001,0,3.0001,0,0,0,0,0,0,781037.059114286,4064157.06055714,1,0,1.0001,8.0001,3.5001,3.5001,3.0001,2.6177195322e-05,793,"",NA,8.0001,"EBA2,MBA,LBA,IA1,IA2",NA,111792,221
"23","NJS_142",339,"NJS","NJS_142_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,778726.89078,4065375.65456,1,0,0,0,0,0,1.3001,0,NA,"",NA,1.3001,"IA2",NA,109426,222
"24","NJS_143",340,"NJS","NJS_143_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,0,0,780147.52261,4067139.17499,1,0,0,0,0,0,1.5001,0,NA,"",NA,1.5001,"IA2",NA,44817,223
"25","NJS_144",341,"NJS","NJS_144_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,778609.5035,4066899.6999,1,0,0,0,0,0,0.7,0,NA,"",NA,0.7,"IA2",NA,23393,224
"26","NJS_145",342,"NJS","NJS_145_0_0","",0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,0,0,0,0,0,776352.683416667,4066475.00328333,1,1.0001,0,0,0,0,2.1001,0,NA,"",NA,2.1001,"EBA1,IA2",NA,176177,225
"27","NJS_146",343,"NJS","NJS_146_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,777416.14004,4063943.64764,1,0,0,0,0,0,1.3001,0,NA,"",NA,1.3001,"IA2",NA,143988,226
"28","NJS_147",344,"NJS","NJS_147_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,0,0,780328.965433333,4068757.4566,1,0,0,0,0,0,1.6001,0,NA,"",NA,1.6001,"IA2",NA,184694,227
